Signatur;Geschäftstyp;Partei;Urheber/in;Titel;Beginn-Datum;Ende;Thema 1;Thema 2;Schwerpunkt;Geschäft;Status
21.5063;Interpellation;SP;Cuénod, Tim;Interpellation Nr. 16 Tim Cuénod betreffend der Umsetzung des Harmos-Konkordates in Bezug auf die Bildungsziele;2021-02-03;;Volksschulen & Tagesbetreuung;;;https://grosserrat.bs.ch/index.php?option=com_gribs&view=geschaeft&laufnr=200110732;A
21.5062;Interpellation;Grüne;Friedl, Harald;"Interpellation Nr. 15 Harald Friedl betreffend Nichtbeantwortung von Fragen von 400 Quartierbewohnern aus einer ""Informationsveranstaltung"" zum geplanten Parking unter der Tschudimatte";2021-02-03;;Politische Beteiligung;Parkraumbewirtschaftung;;https://grosserrat.bs.ch/index.php?option=com_gribs&view=geschaeft&laufnr=200110731;A
21.5056;Interpellation;SVP;Stumpf, Daniela;Interpellation Nr. 10 Daniela Stumpf betreffend Corona-Impfungen im Kanton Basel-Stadt;2021-02-03;;Gesundheitsförderung;Ältere Bevölkerung;Corona;https://grosserrat.bs.ch/index.php?option=com_gribs&view=geschaeft&laufnr=200110726;A
21.5055;Interpellation;;Leuthardt, Beat;Interpellation Nr. 9 Beat Leuthardt betreffend rechtlich mangelhafte, weil eine Grossratsmotion verletzende «Absichtserklärung»;2021-02-03;;Öffentlicher Verkehr;Gestaltung & Infrastruktur;;https://grosserrat.bs.ch/index.php?option=com_gribs&view=geschaeft&laufnr=200110725;A
21.5034;Schriftliche Anfrage;;Wenk, Kerstin;Schriftliche Anfrage Kerstin Wenk betreffend Massnahmen im Umgang mit Entwicklungsverzögerung;2021-02-03;;Volksschulen & Tagesbetreuung;Kinder, Jugendliche & Familien;;https://grosserrat.bs.ch/index.php?option=com_gribs&view=geschaeft&laufnr=200110704;A
21.5028;Anzug;;Wyss, Sarah;Anzug Sarah Wyss und Georg Mattmüller betreffend gesetzliche Verankerung der Betreuung;2021-03-10;;Gesundheitsversorgung;Ältere Bevölkerung;;https://grosserrat.bs.ch/index.php?option=com_gribs&view=geschaeft&laufnr=200110696;B
21.5025;Schriftliche Anfrage;;Kölliker, Sebastian;Schriftliche Anfrage Sebastian Kölliker betreffend Notfalldienst im Gesundheitsgesetz (GesG);2021-02-03;;Gesundheitsversorgung;;;https://grosserrat.bs.ch/index.php?option=com_gribs&view=geschaeft&laufnr=200110692;A
21.5018;Motion;;Grossenbacher, Thomas;Motion Thomas Grossenbacher und Konsorten betreffend Basel wächst grün;2021-02-03;;Stadtgrün;Areale & Quartiere;Klimawandel;https://grosserrat.bs.ch/index.php?option=com_gribs&view=geschaeft&laufnr=200110683;B
21.5017;Motion;;;Motion der Gesundheits- und Sozialkommission betreffend Corona-Bonus für das Gesundheitspersonal während der COVID-19-Pandemie;2021-02-03;;Gesundheitsversorgung;Staatsfinanzen;Corona;https://grosserrat.bs.ch/index.php?option=com_gribs&view=geschaeft&laufnr=200110682;B
21.5014;Anzug;;Hafner, Patrick;Anzug Patrick Hafner betreffend Begegnungszone vor Rathaus;2021-02-03;;Gestaltung & Infrastruktur;Veloverkehr;;https://grosserrat.bs.ch/index.php?option=com_gribs&view=geschaeft&laufnr=200110679;B
21.5006;Interpellation;GLP;Bothe-Wenk, Sandra;Interpellation Nr. 159 Sandra Bothe betreffend die Wiedereinführung der Einführungsklassen in Basel-Stadt;2021-01-13;;Volksschulen & Tagesbetreuung;;;https://grosserrat.bs.ch/index.php?option=com_gribs&view=geschaeft&laufnr=200110666;A
20.5485;Motion;FDP;Zappalà, Andreas;Motion Andreas Zappalà und Konsorten betreffend berufsmässige Vertretung durch die Interessenverbände an der Schlichtungsstelle und eventuell am Mietgericht;2021-01-13;;Wohnen;;;https://grosserrat.bs.ch/index.php?option=com_gribs&view=geschaeft&laufnr=200110659;B
